Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2018,X,Switzerland,World,World,TOTAL CPC,TOTAL MOT,854233,"$28,809,120",19055,,u,3106252,u,3106252
2018,X,Thailand,World,World,TOTAL CPC,TOTAL MOT,854233,"$28,813,716",15447,,u,47589514,u,47589514
2018,X,Trinidad and Tobago,World,World,TOTAL CPC,TOTAL MOT,854233,"$2,323",28,,u,4,u,4
2018,X,United Arab Emirates,World,World,TOTAL CPC,TOTAL MOT,854233,"$1,066,458",211154,,N/A,,kg,211154
2018,X,Tunisia,World,World,TOTAL CPC,TOTAL MOT,854233,"$4,072",4,,N/A,,kg,4
2018,X,Sudan,World,World,TOTAL CPC,TOTAL MOT,854239,$244,36,,N/A,,kg,36
2018,X,Sweden,World,World,TOTAL CPC,TOTAL MOT,854239,"$60,566,903",,,N/A,,N/A,
2018,X,Switzerland,World,World,TOTAL CPC,TOTAL MOT,854239,"$227,500,994",146124,,u,213157531,u,213157531
2018,X,Thailand,World,World,TOTAL CPC,TOTAL MOT,854239,"$4,356,693,181",,,u,23246825269,u,23246825269
2018,X,Trinidad and Tobago,World,World,TOTAL CPC,TOTAL MOT,854239,"$40,158",1171,,u,268,u,268
2018,X,United Arab Emirates,World,World,TOTAL CPC,TOTAL MOT,854239,"$6,202,757",348323,,N/A,,kg,355206
2018,X,Tunisia,World,World,TOTAL CPC,TOTAL MOT,854239,"$45,738,675",789473,,N/A,,kg,789473
2018,X,Sweden,World,World,TOTAL CPC,TOTAL MOT,854290,"$7,733,466",,,kg,43550,N/A,
2018,X,Switzerland,World,World,TOTAL CPC,TOTAL MOT,854290,"$33,550,339",44307,,kg,44307,N/A,
2018,X,Thailand,World,World,TOTAL CPC,TOTAL MOT,854290,"$479,971,997",,,kg,1829514,N/A,
2018,X,Trinidad and Tobago,World,World,TOTAL CPC,TOTAL MOT,854290,"$196,831",150,,kg,150,kg,150
2018,X,United Arab Emirates,World,World,TOTAL CPC,TOTAL MOT,854290,"$1,928,065",190011,,kg,190011,kg,190011
2018,X,Tunisia,World,World,TOTAL CPC,TOTAL MOT,854290,"$9,857,567",356106,,kg,356106,kg,356106
2018,X,T?rkiye,World,World,TOTAL CPC,TOTAL MOT,852352,"$6,884,786",87789,,u,28676315,u,28676315
